Name,Public_Display_Name__c,Public_Search_Keywords__c,Publicly_Listed__c,Supports_Enrollment__c,Enrollment_URL__c,Institution_Status__c,Logo_URL__c,Logo_ContentVersionId__c,Website
"SoFi Bank","SoFi Bank","SoFi Bank Zelle 0PE S","true","true","https://www.sofi.com/banking/online-banking/zelle/","Active","https://enroll.zellepay.com/logos/zellepay/0PE.png","","https://www.sofi.com/banking/online-banking/zelle/"
"Solutions Bank","Solutions Bank","Solutions Bank Zelle 29U S","true","true","https://go.mysolutions.bank/zelle?__hstc=58173813.250e708aca8b6d6ab47ea1c588c23e3c.1645475876229.1645475876229.1645475876229.1&__hssc=58173813.5.1645475876230&__hsfp=1603130137","Active","https://enroll.zellepay.com/logos/zellepay/29U.png","","https://go.mysolutions.bank/zelle?__hstc=58173813.250e708aca8b6d6ab47ea1c588c23e3c.1645475876229.1645475876229.1645475876229.1&__hssc=58173813.5.1645475876230&__hsfp=1603130137"
"Solutions First Credit Union","Solutions First Credit Union","Solutions First Credit Union Zelle 3BJ S","true","true","https://www.solutionsfirstcu.com/zelle","Active","https://enroll.zellepay.com/logos/zellepay/3BJ.png","","https://www.solutionsfirstcu.com/zelle"
"Solvay Bank","Solvay Bank","Solvay Bank Zelle 3C6 S","true","true","https://www.solvaybank.com/services-tools/account-services/person-to-person-p2p-payments.html","Active","https://enroll.zellepay.com/logos/zellepay/3C6.png","","https://www.solvaybank.com/services-tools/account-services/person-to-person-p2p-payments.html"
"Somerset Federal Credit Union","Somerset Federal Credit Union","Somerset Federal Credit Union Zelle 3CC S","true","true","https://www.somersetfcu.com/payments-using-zelle/","Active","https://enroll.zellepay.com/logos/zellepay/3CC.png","","https://www.somersetfcu.com/payments-using-zelle/"
"Somerset Regal Bank","Somerset Regal Bank","Somerset Regal Bank Zelle 21P S","true","true","https://www.somersetregalbank.com/home/home","Active","https://enroll.zellepay.com/api/v1/ecm/sites/ecm/files/logos/override_uploads/21P-zellepay.png","","https://www.somersetregalbank.com/home/home"
"Somerville Bank","Somerville Bank","Somerville Bank Zelle 3C0 S","true","true","https://somervillebank.net/zelle","Active","https://enroll.zellepay.com/logos/zellepay/3C0.png","","https://somervillebank.net/zelle"
"Sound Community Bank","Sound Community Bank","Sound Community Bank Zelle 0PQ S","true","true","https://www.soundcb.com/zelle","Active","https://enroll.zellepay.com/logos/zellepay/0PQ.png","","https://www.soundcb.com/zelle"
"Sound Credit Union","Sound Credit Union","Sound Credit Union Zelle JRM S","true","true","https://www.soundcu.com/zelle/","Active","https://enroll.zellepay.com/logos/zellepay/JRM.png","","https://www.soundcu.com/zelle/"
"Sound Federal Credit Union","Sound Federal Credit Union","Sound Federal Credit Union Zelle 3BP S","true","true","https://mysoundcu.org/ebanking/","Active","https://enroll.zellepay.com/logos/zellepay/3BP.png","","https://mysoundcu.org/ebanking/"
